time[h],cumulative displacements [cm],displacement rate [cm],distance between two tapes [px], conversion factor [cm/px]
0.333333,0.106657,0.106657,42.760695,0.093544
0.666667,0.253579,0.146922,42.784738,0.093491
1.000000,0.374423,0.120844,42.801348,0.093455
1.333333,0.545720,0.171297,42.823324,0.093407
1.666667,0.705441,0.159721,42.638513,0.093812
2.000000,0.930464,0.225023,42.664164,0.093755
2.333333,1.256802,0.326338,40.310822,0.099229
2.666667,1.580991,0.324189,39.800739,0.100501
3.000000,1.972006,0.391015,39.034512,0.102473
3.333333,2.354412,0.382407,34.633771,0.115494
3.666667,2.821545,0.467132,34.161972,0.117089
